,Variable,ROTATE,THERMALMASS,WWR,SHADING_OVERHANG_PROJECTION,WINU,WINSHGC,ROOFR,WALLR,SCALE_X,Recommended,Baseline,EUI_kBtu_per_sqft,TEDI_kBtu_per_sqft,CEDI_kBtu_per_sqft,EDI_kBtu_per_sqft,peak_cooling_W_per_sqft,peak_heating_W_per_sqft
12,ROTATE,120.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,no,44.159109694444446,2.0126649999999997,20.640321,22.652986,3.806173905331171,7.562301770285763
13,ROTATE,150.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,no,44.39894725,2.119671,20.603637,22.723308,3.8083502522508232,7.636599585959449
14,THERMALMASS,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
15,THERMALMASS,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
16,THERMALMASS,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
17,THERMALMASS,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
18,THERMALMASS,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
19,THERMALMASS,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
20,THERMALMASS,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
21,THERMALMASS,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
22,THERMALMASS,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
23,THERMALMASS,0.0,0.25,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,no,44.12087280555556,1.867955,20.323061,22.191015999999998,3.60641023361708,7.496421811680968
24,THERMALMASS,0.0,0.5,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,no,43.68667905555556,1.6460780000000002,19.998786,21.644864,3.526424254728069,7.236557364984771
25,THERMALMASS,0.0,1.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,no,43.16943308333334,1.395228,19.596911,20.992138999999998,3.4430346228077413,7.893354971458477
26,WWR,0.0,0.0,0.4,0.001,0.36,0.32,31.0,14.0,1.0,no,no,43.740930666666664,1.8087179999999998,18.842139999999997,20.650857999999996,3.386997623300131,6.964754510230209
27,WWR,0.0,0.0,0.5,0.001,0.36,0.32,31.0,14.0,1.0,no,no,44.056168666666665,1.9538700000000002,19.598844000000003,21.552714,3.5569371116028137,7.295790997117354
28,WWR,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
29,WWR,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
30,WWR,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
31,WWR,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
32,WWR,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
33,WWR,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
34,WWR,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
35,WWR,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
36,WWR,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
37,WWR,0.0,0.0,0.7,0.001,0.36,0.32,31.0,14.0,1.0,no,no,44.943004138888895,2.3154649999999997,21.323068999999997,23.638533999999996,3.8875561699221985,7.885249624590921
38,SHADING_OVERHANG_PROJECTION,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
39,SHADING_OVERHANG_PROJECTION,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
40,SHADING_OVERHANG_PROJECTION,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
41,SHADING_OVERHANG_PROJECTION,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
42,SHADING_OVERHANG_PROJECTION,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
43,SHADING_OVERHANG_PROJECTION,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
