WWR,WINU,WINSHGC,ROOFR,WALLR,INFIL,EUI_kBtu_per_sqft,TEDI_kBtu_per_sqft,CEDI_kBtu_per_sqft,EDI_kBtu_per_sqft,sensible_peak_cooling_W_per_sqft,sensible_peak_heating_W_per_sqft,time_of_peak_cooling,time_of_peak_heating,dataset
0.35,0.17,0.2,30.0,10.0,0.01,21.389483777777777,7.849937000000001,8.424708,16.274645,10.732518591895728,9.306489472811206,10-JUL-06:02,06-FEB-06:01,modeled
0.35,0.17,0.2,30.0,10.0,0.04,21.3894837777779,7.849936999999957,8.424708000000008,16.274645000000064,10.732518591895756,9.306489472811219,10-JUL-06:02,06-FEB-06:01,interpolated
0.35,0.17,0.2,30.0,10.0,0.07,21.389483777777777,7.849937000000001,8.424708,16.274645,10.732518591895728,9.306489472811206,10-JUL-06:02,06-FEB-06:01,modeled
0.35,0.17,0.2,30.0,15.0,0.01,21.3894837777779,7.849936999999957,8.424708000000008,16.274645000000064,10.732518591895756,9.306489472811219,10-JUL-06:02,06-FEB-06:01,interpolated
0.35,0.17,0.2,30.0,15.0,0.04,21.3894837777779,7.849936999999957,8.424708000000008,16.274645000000064,10.732518591895756,9.306489472811219,10-JUL-06:02,06-FEB-06:01,interpolated
0.35,0.17,0.2,30.0,15.0,0.07,21.3894837777779,7.849936999999957,8.424708000000008,16.274645000000064,10.732518591895756,9.306489472811219,10-JUL-06:02,06-FEB-06:01,interpolated
0.35,0.17,0.2,30.0,20.0,0.01,21.3894837777779,7.849936999999957,8.424708000000008,16.274645000000064,10.732518591895756,9.306489472811219,10-JUL-06:02,06-FEB-06:01,interpolated
0.35,0.17,0.2,30.0,20.0,0.04,21.3894837777779,7.849936999999957,8.424708000000008,16.274645000000064,10.732518591895756,9.306489472811219,10-JUL-06:02,06-FEB-06:01,interpolated
0.35,0.17,0.2,30.0,20.0,0.07,21.3894837777779,7.849936999999957,8.424708000000008,16.274645000000064,10.732518591895756,9.306489472811219,10-JUL-06:02,06-FEB-06:01,interpolated
0.35,0.17,0.2,30.0,25.0,0.01,21.3894837777779,7.849936999999957,8.424708000000008,16.274645000000064,10.732518591895756,9.306489472811219,10-JUL-06:02,06-FEB-06:01,interpolated
0.35,0.17,0.2,30.0,25.0,0.04,21.3894837777779,7.849936999999957,8.424708000000008,16.274645000000064,10.732518591895756,9.306489472811219,10-JUL-06:02,06-FEB-06:01,interpolated
0.35,0.17,0.2,30.0,25.0,0.07,21.3894837777779,7.849936999999957,8.424708000000008,16.274645000000064,10.732518591895756,9.306489472811219,10-JUL-06:02,06-FEB-06:01,interpolated
0.35,0.17,0.2,30.0,30.0,0.01,21.389483777777777,7.849937000000001,8.424708,16.274645,10.732518591895728,9.306489472811206,10-JUL-06:02,06-FEB-06:01,modeled
0.35,0.17,0.2,30.0,30.0,0.04,21.3894837777779,7.849936999999957,8.424708000000008,16.274645000000064,10.732518591895756,9.306489472811219,10-JUL-06:02,06-FEB-06:01,interpolated
0.35,0.17,0.2,30.0,30.0,0.07,21.389483777777777,7.849937000000001,8.424708,16.274645,10.732518591895728,9.306489472811206,10-JUL-06:02,06-FEB-06:01,modeled
0.35,0.17,0.2,35.0,10.0,0.01,21.3894837777779,7.849936999999957,8.424708000000008,16.274645000000064,10.732518591895756,9.306489472811219,10-JUL-06:02,06-FEB-06:01,interpolated
0.35,0.17,0.2,35.0,10.0,0.04,21.3894837777779,7.849936999999957,8.424708000000008,16.274645000000064,10.732518591895756,9.306489472811219,10-JUL-06:02,06-FEB-06:01,interpolated
0.35,0.17,0.2,35.0,10.0,0.07,21.3894837777779,7.849936999999957,8.424708000000008,16.274645000000064,10.732518591895756,9.306489472811219,10-JUL-06:02,06-FEB-06:01,interpolated
0.35,0.17,0.2,35.0,15.0,0.01,21.3894837777779,7.849936999999957,8.424708000000008,16.274645000000064,10.732518591895756,9.306489472811219,10-JUL-06:02,06-FEB-06:01,interpolated
0.35,0.17,0.2,35.0,15.0,0.04,21.3894837777779,7.849936999999957,8.424708000000008,16.274645000000064,10.732518591895756,9.306489472811219,10-JUL-06:02,06-FEB-06:01,interpolated
0.35,0.17,0.2,35.0,15.0,0.07,21.389483777777777,7.849937000000001,8.424708,16.274645,10.732518591895728,9.306489472811206,10-JUL-06:02,06-FEB-06:01,modeled
0.35,0.17,0.2,35.0,20.0,0.01,21.3894837777779,7.849936999999957,8.424708000000008,16.274645000000064,10.732518591895756,9.306489472811219,10-JUL-06:02,06-FEB-06:01,interpolated
0.35,0.17,0.2,35.0,20.0,0.04,21.3894837777779,7.849936999999957,8.424708000000008,16.274645000000064,10.732518591895756,9.306489472811219,10-JUL-06:02,06-FEB-06:01,interpolated
0.35,0.17,0.2,35.0,20.0,0.07,21.3894837777779,7.849936999999957,8.424708000000008,16.274645000000064,10.732518591895756,9.306489472811219,10-JUL-06:02,06-FEB-06:01,interpolated
0.35,0.17,0.2,35.0,25.0,0.01,21.3894837777779,7.849936999999957,8.424708000000008,16.274645000000064,10.732518591895756,9.306489472811219,10-JUL-06:02,06-FEB-06:01,interpolated
0.35,0.17,0.2,35.0,25.0,0.04,21.3894837777779,7.849936999999957,8.424708000000008,16.274645000000064,10.732518591895756,9.306489472811219,10-JUL-06:02,06-FEB-06:01,interpolated
0.35,0.17,0.2,35.0,25.0,0.07,21.3894837777779,7.849936999999957,8.424708000000008,16.274645000000064,10.732518591895756,9.306489472811219,10-JUL-06:02,06-FEB-06:01,interpolated
